tract_id,precount_positive,all_positive,median_hhold_inc,median_age,week_19,count_19,week_20,count_20
53033000100,20,217,55143.0,34.9,2019/4/29,138,2020/4/27,50
53033000200,35,191,77463.0,38.1,2019/4/29,89,2020/4/27,33
53033000300,9,67,100917.0,36.4,2019/4/29,40,2020/4/27,24
53033000401,25,135,32877.0,46.2,2019/4/29,69,2020/4/27,32
53033000402,20,126,72150.0,44.0,2019/4/29,64,2020/4/27,17
53033000500,4,47,148906.0,51.9,2019/4/29,46,2020/4/27,26
53033000600,36,324,77269.0,36.9,2019/4/29,83,2020/4/27,36
53033000700,14,116,64310.0,34.5,2019/4/29,94,2020/4/27,16
53033000800,3,47,102500.0,41.5,2019/4/29,22,2020/4/27,8
53033000900,3,41,147750.0,52.2,2019/4/29,26,2020/4/27,13
53033001000,4,32,110956.0,38.8,2019/4/29,32,2020/4/27,4
53033001100,4,37,95573.0,42.1,2019/4/29,24,2020/4/27,9
53033001200,21,168,51807.0,34.7,2019/4/29,108,2020/4/27,46
53033001300,14,102,72850.0,35.6,2019/4/29,45,2020/4/27,32
53033001400,13,80,93948.0,35.2,2019/4/29,66,2020/4/27,20
53033001500,2,56,128059.0,45.1,2019/4/29,49,2020/4/27,20
53033001600,11,68,143125.0,42.4,2019/4/29,40,2020/4/27,8
53033001701,10,77,75162.0,33.5,2019/4/29,34,2020/4/27,6
53033001702,25,134,93679.0,37.4,2019/4/29,32,2020/4/27,24
53033001800,12,104,95993.0,32.8,2019/4/29,33,2020/4/27,16
53033001900,3,78,89448.0,34.1,2019/4/29,23,2020/4/27,8
53033002000,5,39,121184.0,38.3,2019/4/29,28,2020/4/27,12
53033002100,2,57,113750.0,36.1,2019/4/29,54,2020/4/27,12
53033002200,4,56,134554.0,42.0,2019/4/29,118,2020/4/27,20
53033002400,4,25,126944.0,40.9,2019/4/29,39,2020/4/27,16
53033002500,9,34,121635.0,37.9,2019/4/29,56,2020/4/27,16
53033002600,8,69,114219.0,35.6,2019/4/29,78,2020/4/27,35
53033002700,11,73,145500.0,35.4,2019/4/29,48,2020/4/27,20
53033002800,10,61,137127.0,36.9,2019/4/29,55,2020/4/27,16
53033002900,12,57,112969.0,39.8,2019/4/29,63,2020/4/27,17
53033003000,8,57,105581.0,38.1,2019/4/29,105,2020/4/27,24
53033003100,10,86,127787.0,41.5,2019/4/29,82,2020/4/27,28
53033003200,23,101,95182.0,36.8,2019/4/29,72,2020/4/27,16
53033003300,6,80,127665.0,34.9,2019/4/29,91,2020/4/27,31
53033003400,2,48,112650.0,36.3,2019/4/29,20,2020/4/27,8
53033003500,3,31,105625.0,39.5,2019/4/29,28,2020/4/27,14
53033003600,24,149,83739.0,31.8,2019/4/29,39,2020/4/27,30
53033003800,10,25,124286.0,34.9,2019/4/29,40,2020/4/27,8
53033003900,4,37,111806.0,41.5,2019/4/29,36,2020/4/27,20
53033004000,14,51,85707.0,37.2,2019/4/29,75,2020/4/27,30
53033004100,8,101,178935.0,39.1,2019/4/29,104,2020/4/27,40
53033004200,16,87,128966.0,41.7,2019/4/29,126,2020/4/27,28
53033004301,10,49,95764.0,29.9,2019/4/29,46,2020/4/27,21
53033004400,7,144,64026.0,25.1,2019/4/29,120,2020/4/27,28
53033004500,5,50,113669.0,28.7,2019/4/29,29,2020/4/27,12
53033004600,4,34,136528.0,37.7,2019/4/29,126,2020/4/27,17
53033004700,24,163,96745.0,34.0,2019/4/29,106,2020/4/27,24
53033004800,8,49,121492.0,33.7,2019/4/29,40,2020/4/27,8
53033004900,18,94,101203.0,30.6,2019/4/29,54,2020/4/27,16
53033005000,9,70,98698.0,30.2,2019/4/29,36,2020/4/27,12
53033005100,8,53,119625.0,38.3,2019/4/29,50,2020/4/27,16
53033005200,15,85,47883.0,24.5,2019/4/29,176,2020/4/27,29
53033005301,9,345,26413.0,21.9,2019/4/29,101,2020/4/27,14
53033005302,2,53,17188.0,19.4,2019/4/29,186,2020/4/27,8
53033005400,9,84,110956.0,31.8,2019/4/29,63,2020/4/27,16
53033005600,3,97,167622.0,47.2,2019/4/29,119,2020/4/27,45
53033005700,6,61,118750.0,41.2,2019/4/29,93,2020/4/27,61
53033005801,5,85,98281.0,33.6,2019/4/29,83,2020/4/27,44
53033005802,8,86,77424.0,33.7,2019/4/29,96,2020/4/27,8
53033005900,5,83,115129.0,28.0,2019/4/29,65,2020/4/27,33
53033006000,23,131,114907.0,34.0,2019/4/29,69,2020/4/27,42
53033006100,16,100,115586.0,35.4,2019/4/29,28,2020/4/27,12
53033006200,8,73,208636.0,41.1,2019/4/29,83,2020/4/27,19
53033006300,18,85,129609.0,45.4,2019/4/29,80,2020/4/27,13
53033006400,6,38,166125.0,36.5,2019/4/29,28,2020/4/27,12
53033006500,4,66,101847.0,37.7,2019/4/29,49,2020/4/27,8
53033006600,5,81,114561.0,30.1,2019/4/29,36,2020/4/27,13
53033006700,30,188,118590.0,30.3,2019/4/29,112,2020/4/27,40
53033006800,0,34,128664.0,37.2,2019/4/29,57,2020/4/27,4
53033006900,5,39,130524.0,38.4,2019/4/29,100,2020/4/27,8
53033007000,8,106,69375.0,35.9,2019/4/29,57,2020/4/27,45
53033007100,6,112,86810.0,31.4,2019/4/29,77,2020/4/27,4
53033007200,14,183,117908.0,30.6,2019/4/29,100,2020/4/27,33
53033007300,41,220,92656.0,32.4,2019/4/29,73,2020/4/27,4
53033007401,16,89,78632.0,32.7,2019/4/29,105,2020/4/27,9
53033007402,10,79,53312.0,30.7,2019/4/29,42,2020/4/27,16
53033007500,21,162,67860.0,31.2,2019/4/29,103,2020/4/27,25
53033007600,8,64,88525.0,33.5,2019/4/29,46,2020/4/27,16
53033007700,11,88,107736.0,34.4,2019/4/29,83,2020/4/27,20
53033007800,10,63,190804.0,42.3,2019/4/29,41,2020/4/27,55
53033007900,19,121,81834.0,33.4,2019/4/29,91,2020/4/27,37
53033008001,9,133,127607.0,35.2,2019/4/29,91,2020/4/27,8
53033008002,4,75,72155.0,39.2,2019/4/29,23,2020/4/27,12
53033008100,32,206,82892.0,43.2,2019/4/29,105,2020/4/27,18
53033008200,16,98,94039.0,35.0,2019/4/29,73,2020/4/27,20
53033008300,8,70,68239.0,36.8,2019/4/29,64,2020/4/27,4
53033008400,6,103,69409.0,31.8,2019/4/29,51,2020/4/27,8
53033008500,20,170,62933.0,37.4,2019/4/29,91,2020/4/27,12
53033008600,22,155,60349.0,23.8,2019/4/29,81,2020/4/27,21
53033008700,9,111,96630.0,32.3,2019/4/29,74,2020/4/27,8
53033008800,8,45,134107.0,34.3,2019/4/29,27,2020/4/27,8
53033008900,8,111,110313.0,36.9,2019/4/29,42,2020/4/27,32
53033009000,22,169,43406.0,37.9,2019/4/29,49,2020/4/27,54
